Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
floral-embroidered-puff-sleeve-short-dress,Floral Embroidered  Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OW5071M,400,shopify,50,deny,manual,4699,,true,true,
floral-embroidered-puff-sleeve-short-dress,Floral Embroidered  Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OW5071L,400,shopify,50,deny,manual,4699,,true,true,
floral-embroidered-puff-sleeve-short-dress,Floral Embroidered  Puff Sleeve Short Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OW5071XL,400,shopify,50,deny,manual,4699,,true,true,
off-white-embroidered-cut-out-sheath-dress,Off White Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,xs,DS00OW5156XS,400,shopify,50,deny,manual,3399,,true,true,active
off-white-embroidered-cut-out-sheath-dress,Off White Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,s,DS00OW5156S,400,shopify,50,deny,manual,3399,,true,true,
off-white-embroidered-cut-out-sheath-dress,Off White Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00OW5156M,400,shopify,50,deny,manual,3399,,true,true,
off-white-embroidered-cut-out-sheath-dress,Off White Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00OW5156L,400,shopify,50,deny,manual,3399,,true,true,
off-white-embroidered-cut-out-sheath-dress,Off White Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00OW5156XL,400,shopify,50,deny,manual,3399,,true,true,
maroon-embroidered-cut-out-sheath-dress,Maroon Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,xs,DS00MR5157XS,400,shopify,50,deny,manual,3399,,true,true,active
maroon-embroidered-cut-out-sheath-dress,Maroon Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,s,DS00MR5157S,400,shopify,50,deny,manual,3399,,true,true,
maroon-embroidered-cut-out-sheath-dress,Maroon Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00MR5157M,400,shopify,50,deny,manual,3399,,true,true,
maroon-embroidered-cut-out-sheath-dress,Maroon Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00MR5157L,400,shopify,50,deny,manual,3399,,true,true,
maroon-embroidered-cut-out-sheath-dress,Maroon Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00MR5157XL,400,shopify,50,deny,manual,3399,,true,true,
black-embroidered-cut-out-sheath-dress,Black Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,xs,DS00BK5158XS,400,shopify,50,deny,manual,3399,,true,true,active
black-embroidered-cut-out-sheath-dress,Black Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,s,DS00BK5158S,400,shopify,50,deny,manual,3399,,true,true,
black-embroidered-cut-out-sheath-dress,Black Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00BK5158M,400,shopify,50,deny,manual,3399,,true,true,
black-embroidered-cut-out-sheath-dress,Black Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00BK5158L,400,shopify,50,deny,manual,3399,,true,true,
black-embroidered-cut-out-sheath-dress,Black Embroidered Cut Out Sheath Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00BK5158XL,400,shopify,50,deny,manual,3399,,true,true,
indigo-mirror-embroidery-cut-out-tie-dye-dress,Indigo Mirror Embroidery Cut Out Tie&Dye Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,xs,DS00BL5159XS,400,shopify,50,deny,manual,3399,,true,true,active
indigo-mirror-embroidery-cut-out-tie-dye-dress,Indigo Mirror Embroidery Cut Out Tie&Dye Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,s,DS00BL5159S,400,shopify,50,deny,manual,3399,,true,true,
indigo-mirror-embroidery-cut-out-tie-dye-dress,Indigo Mirror Embroidery Cut Out Tie&Dye Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,m,DS00BL5159M,400,shopify,50,deny,manual,3399,,true,true,
indigo-mirror-embroidery-cut-out-tie-dye-dress,Indigo Mirror Embroidery Cut Out Tie&Dye Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS00BL5159L,400,shopify,50,deny,manual,3399,,true,true,
indigo-mirror-embroidery-cut-out-tie-dye-dress,Indigo Mirror Embroidery Cut Out Tie&Dye Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS00BL5159XL,400,shopify,50,deny,manual,3399,,true,true,
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,true,Size,m,DS05BK5053M,400,shopify,50,deny,manual,3799,,true,true,active
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,l,DS05BK5053L,400,shopify,50,deny,manual,3799,,true,true,
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,xl,DS05BK5053XL,400,shopify,50,deny,manual,3799,,true,true,
printed-fit-and-flare-midi-dress,Printed Fit And Flare Midi Dress,,Zummer,Apparel & Accessories > Clothing > Dresses,DRESS,,,,2xl,DS05BK5053XXL,400,shopify,50,deny,manual,3799,,true,true,
