Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
cotton-stripe-printed-shirt-and-palazzos-co-ords-set,Cotton Stripe Printed Shirt And Palazzos Co-Ords Set,<p>Cotton Stripe Printed Shirt And Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00OW5098L,400,shopify,,deny,manual,,,true,true,
cotton-stripe-printed-shirt-and-palazzos-co-ords-set,Cotton Stripe Printed Shirt And Palazzos Co-Ords Set,<p>Cotton Stripe Printed Shirt And Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00OW5098XL,400,shopify,,deny,manual,,,true,true,
cotton-stripe-printed-shirt-and-palazzos-co-ords-set,Cotton Stripe Printed Shirt And Palazzos Co-Ords Set,<p>Cotton Stripe Printed Shirt And Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00OW5098XXL,400,shopify,,deny,manual,,,true,true,
cotton-ikat-print-top-with-palazzos-co-ords-set,Cotton Ikat Print Top With Palazzos Co-Ords Set,<p>Cotton Ikat Print Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00TL5214S,400,shopify,,deny,manual,,,true,true,active
cotton-ikat-print-top-with-palazzos-co-ords-set,Cotton Ikat Print Top With Palazzos Co-Ords Set,<p>Cotton Ikat Print Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00TL5214M,400,shopify,,deny,manual,,,true,true,
cotton-ikat-print-top-with-palazzos-co-ords-set,Cotton Ikat Print Top With Palazzos Co-Ords Set,<p>Cotton Ikat Print Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00TL5214L,400,shopify,,deny,manual,,,true,true,
cotton-ikat-print-top-with-palazzos-co-ords-set,Cotton Ikat Print Top With Palazzos Co-Ords Set,<p>Cotton Ikat Print Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00TL5214XL,400,shopify,,deny,manual,,,true,true,
cotton-ikat-print-top-with-palazzos-co-ords-set,Cotton Ikat Print Top With Palazzos Co-Ords Set,<p>Cotton Ikat Print Top With Palazzos Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,2xl,CO00TL5214XXL,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,true,Size,s,CO00WH5020S,400,shopify,,deny,manual,,,true,true,active
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,m,CO00WH5020M,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,l,CO00WH5020L,400,shopify,,deny,manual,,,true,true,
cotton-floral-embroidered-shirt-with-trouser-co-ords-set,Cotton Floral Embroidered Shirt With Trouser Co-Ords Set,<p>Cotton Floral Embroidered Shirt With Trouser Co-Ords Set</p><p>100% Cotton</p>,Zummer,Apparel & Accessories > Clothing > Outfit Sets,Co-Ord,,,,xl,CO00WH5020XL,400,shopify,,deny,manual,,,true,true,
